Time start,Time stop,Organic,Sulfate,Ammonium,Nitrate,Chloride
9/27/14 9:20,9/27/14 9:23,10.9392,3.02003,0.957805,0.233646,0.027856
9/27/14 9:28,9/27/14 9:31,11.3271,2.84822,0.894688,0.246076,0.028816
9/27/14 9:36,9/27/14 9:39,11.2774,2.79215,0.878172,0.236815,0.0283932
9/27/14 9:44,9/27/14 9:47,10.8269,2.81619,0.879799,0.203996,0.0323887
9/27/14 9:52,9/27/14 9:55,10.6011,2.70529,0.818709,0.194397,0.0261176
9/27/14 10:00,9/27/14 10:03,10.5852,2.69704,0.820128,0.215776,0.0352394
9/27/14 10:08,9/27/14 10:11,10.0897,2.76539,0.833008,0.182756,0.0259987
9/27/14 10:16,9/27/14 10:19,10.1054,2.80753,0.827756,0.209514,0.0310648
9/27/14 10:24,9/27/14 10:27,10.5466,2.81115,0.841512,0.223836,0.0332693
9/27/14 10:32,9/27/14 10:35,11.6017,3.193,0.949281,0.288498,0.0386417
9/27/14 10:40,9/27/14 10:43,10.6573,2.86015,0.899745,0.271656,0.046257
9/27/14 10:48,9/27/14 10:51,10.7155,3.03893,0.912043,0.278972,0.0397707
9/27/14 10:56,9/27/14 10:59,11.0764,3.42297,1.0446,0.351138,0.0545516
9/27/14 11:04,9/27/14 11:07,10.8304,3.48936,1.08434,0.365387,0.0569489
9/27/14 11:12,9/27/14 11:15,11.0111,3.57659,1.03404,0.275687,0.0340311
9/27/14 11:20,9/27/14 11:23,10.836,3.57182,1.05151,0.289328,0.0381618
9/27/14 11:28,9/27/14 11:31,10.8486,3.65474,1.07911,0.29845,0.0376626
9/27/14 11:36,9/27/14 11:39,10.8837,3.71966,1.09042,0.298231,0.0300092
9/27/14 11:44,9/27/14 11:47,11.1367,3.91224,1.10117,0.247702,0.0300636
9/27/14 11:52,9/27/14 11:55,11.0863,3.8939,1.08331,0.27626,0.0250948
9/27/14 12:00,9/27/14 12:03,11.1397,4.12633,1.16075,0.269671,0.025188
9/27/14 12:08,9/27/14 12:11,11.3003,4.25689,1.16869,0.288026,0.0225379
9/27/14 12:16,9/27/14 12:19,10.9666,4.12214,1.11262,0.255838,0.0225481
9/27/14 12:24,9/27/14 12:27,10.9021,4.07108,1.08875,0.223442,0.0176262
9/27/14 12:32,9/27/14 12:35,10.6028,4.08824,1.06085,0.22646,0.0175549
9/27/14 12:40,9/27/14 12:43,10.1057,4.06256,1.04733,0.221008,0.0172037
9/27/14 12:48,9/27/14 12:51,10.1938,4.13109,1.06816,0.239696,0.016581
9/27/14 12:56,9/27/14 12:59,9.69502,4.30003,1.08332,0.211571,0.0100187
9/27/14 13:04,9/27/14 13:07,9.62587,4.23553,1.05465,0.255906,0.0166302
9/27/14 13:12,9/27/14 13:15,8.38869,4.01589,0.971652,0.17085,0.0107919
9/27/14 13:20,9/27/14 13:23,8.21529,4.19239,1.00863,0.133551,0.0170183
9/27/14 13:28,9/27/14 13:31,7.98264,4.15636,1.01204,0.188538,0.0175228
9/27/14 13:36,9/27/14 13:39,7.62227,4.16005,0.980214,0.149703,0.0123399
9/27/14 13:44,9/27/14 13:47,7.27201,4.01431,0.944153,0.171154,0.0165707
9/27/14 13:52,9/27/14 13:55,7.62282,4.2642,1.02625,0.137615,0.0154903
9/27/14 14:00,9/27/14 14:03,8.00849,4.27777,1.02655,0.192464,0.0159485
9/27/14 14:08,9/27/14 14:11,8.60293,4.82889,1.18881,0.211072,0.0104813
9/27/14 14:16,9/27/14 14:19,8.42184,4.50051,1.10901,0.198214,0.014669
9/27/14 14:24,9/27/14 14:27,8.84381,4.8962,1.22385,0.221484,0.0130159
9/27/14 14:32,9/27/14 14:35,9.10791,4.91697,1.21648,0.210457,0.0143196
9/27/14 14:40,9/27/14 14:43,8.68422,4.36845,1.06345,0.174205,0.0115316
9/27/14 14:48,9/27/14 14:51,9.19594,4.76171,1.1627,0.184507,0.00927323
9/27/14 14:56,9/27/14 14:59,9.10213,4.56388,1.10016,0.165865,0.01377
